#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Hyphochytriomycetes;class__unknown;order__Hyphochytriales;family__unknown	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Heterolobosea;class__Tetramitia;order__unknown;family__unknown	1	0	6	0	0	0	0	0	0	0	33	5	4	20	0	380	8
root__Root;domain__Eukaryota;phylum__Gracilipodida;class__unknown;order__unknown;family__unknown	6	5	5	0	0	0	0	0	0	0	0	8	0	10	2	11	7
root__Root;domain__Eukaryota;phylum__Gastrotricha;class__unknown;order__Chaetonotida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
root__Root;domain__Eukaryota;phylum__Fractovitelliida;class__unknown;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	17	6
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Kinetoplastea;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Kinetoplastea;order__Parabodonida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Kinetoplastea;order__Neobodonida;family__unknown	8	2	0	0	0	0	0	0	0	0	0	0	2	0	7	9	0
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Euglenida;order__Heteronematina;family__unknown	0	0	0	0	9	0	0	0	0	0	0	0	1	0	2	0	0
root__Root;domain__Eukaryota;phylum__Entoprocta;class__unknown;order__Coloniales;family__unknown	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__unknown;order__unknown;family__unknown	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__uncultured;order__unknown;family__unknown	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__IncertaeSedis;order__unknown;family__unknown	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__unknown;family__unknown	0	0	0	3	4	5	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__unknown;family__Thoracosphaeraceae	0	0	0	405	383	611	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__unknown;family__Podolampadaceae	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__uncultured;family__unknown	0	0	0	19	5	27	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Prorocentrales;family__unknown	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Peridiniales;family__unknown	0	0	0	6	5	12	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__unknown	0	0	0	24	15	26	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__uncultured	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__Suessiaceae	0	0	0	80	71	102	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__Kareniaceae	0	0	0	6	14	18	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__IncertaeSedis	0	0	0	22	29	30	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gymnodiniphycidae;family__Gymnodiniumclade	0	0	0	92	84	106	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Gonyaulacales;family__unknown	0	0	2	16	18	39	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae;order__Dinophysiales;family__unknown	0	0	0	78	91	135	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__unknown;order__unknown;family__Melosirids	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__unknown;order__Fragilariales;family__unknown	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__Mediophyceae;order__unknown;family__unknown	0	0	0	0	0	1	0	32	0	7	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__Bacillariophyceae;order__unknown;family__unknown	4	6	2	124	145	130	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Cryptomycota;class__unknown;order__unknown;family__unknown	0	0	0	94	89	96	0	0	0	0	0	0	0	0	4	1	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__unknown;order__unknown;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Postciliodesmatophora;order__Heterotrichea;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Spirotrichea;family__Oxytrichidae	1	0	0	1	0	1	0	0	0	0	0	0	0	10	0	10	2
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Spirotrichea;family__Oligotrichia	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Spirotrichea;family__Hypotrichia	22	23	26	171	217	118	0	7	0	0	0	0	0	5	1	183	2
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Spirotrichea;family__Euplotia	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Spirotrichea;family__Choreotrichia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata;order__Litostomatea;family__Mesodiniidae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
