#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__Adinetida;family__unknown;genus__unknown	0	0	2	0	0	0	0	0	0	0	0	0	0	18	0	5	4
root__Root;domain__Eukaryota;phylum__Retaria;class__RADA;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Retaria;class__Polycystinea;order__Spumellaria;family__unknown;genus__uncultured	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Retaria;class__Acantharia;order__Arthracanthida;family__unknown;genus__Hexaconus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__unknown;family__unknown;genus__unknown	0	0	0	210	172	188	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__unknown;family__unknown;genus__Phaeocystis	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__unknown	0	0	0	6	7	7	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Scyphosphaera	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Pseudohaptolina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Prymnesium	0	0	0	1158	1142	1236	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__OLI51059	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Haptolina	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Chrysoculter	0	0	0	15	18	20	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Chrysochromulina	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown;genus__Chrysocampanula	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Isochrysidales;family__unknown;genus__Isochrysis	0	0	0	6126	5701	6493	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Isochrysidales;family__unknown;genus__Emiliania	0	0	0	302	280	284	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Isochrysidales;family__unknown;genus__ESS2202	0	0	0	13	8	9	0	0	0	0	0	0	0	0	0	0	0
