#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Cercozoa;class__uncultured	14	7	2	3	1	2	0	0	0	2	0	3	0	3	0	3	1
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Vampyrellidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Thecofilosea	5	20	13	1834	1745	1930	0	0	0	0	0	1	0	5	4	61	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Phytomyxea	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__NovelCladeGran-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__NovelClade2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__NovelClade10	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__IncertaeSedis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	2	2
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Imbricatea	4	2	1	0	0	1	0	0	0	0	0	4	0	0	10	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Granofilosea	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Glissomonadida	13	6	4	0	1	0	0	0	0	0	0	0	0	1574	37	483	518
root__Root;domain__Eukaryota;phylum__Cercozoa;class__Cercomonadidae	0	0	4	0	1	0	0	0	0	0	0	2	0	1	44	2	3
root__Root;domain__Eukaryota;phylum__Centrohelida;class__unknown	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Breviatea;class__unknown	0	0	0	10	12	7	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Blastocladiomycota;class__Blastocladiomycetes	8	7	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Bicosoecida;class__unknown	0	1	1	2	2	3	0	0	0	0	0	0	0	0	1	20	0
root__Root;domain__Eukaryota;phylum__Bicosoecida;class__P34.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Bicosoecida;class__LG08-10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Bicosoecida;class__K4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__Bicosoecida;class__CH1-2B-3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Ustilaginomycetes	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Tremellomycetes	1	2	8	0	0	0	0	0	0	0	0	0	4	745	0	459	306
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Spiculogloeomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Microbotryomycetes	0	0	0	0	0	0	0	0	0	0	0	1	1	27	0	22	9
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Malasseziomycetes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Exobasidiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Dacrymycetes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Cystobasidiomycetes	0	0	0	0	0	0	0	0	32	0	0	0	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__Basidiomycota;class__Agaricomycetes	47	8	14	0	0	0	0	0	0	0	0	0	3	10	2	10	1
root__Root;domain__Eukaryota;phylum__Ascomycota;class__unknown	2	1	5	0	0	1	0	0	0	0	0	0	0	1	0	12	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__uncultured	0	1	3	0	0	0	0	0	0	0	0	0	0	16	0	93	2
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Xylonomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Xylobotryomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Sordariomycetes	18	17	7	0	0	0	0	0	0	0	0	0	4	21	5	37	7
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Saccharomycetes	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	33	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Pezizomycetes	25	31	21	0	0	0	0	0	0	0	0	0	0	2	0	19	2
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Lichinomycetes	19	20	7	0	0	0	0	0	0	0	0	0	0	0	0	10	2
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Leotiomycetes	43	33	13	0	0	0	0	0	0	0	0	0	0	51	0	5523	30
root__Root;domain__Eukaryota;phylum__Ascomycota;class__LeotiomycetaIncertaeSedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Lecanoromycetes	65	33	25	0	0	0	0	0	0	0	0	0	1	11	0	61	13
root__Root;domain__Eukaryota;phylum__Ascomycota;class__IncertaeSedis	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Eurotiomycetes	26	20	38	0	0	0	0	0	0	0	0	0	0	220	0	664	207
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Dothideomycetes	165	80	100	0	0	0	0	0	0	0	0	19	7	6	2	67	9
root__Root;domain__Eukaryota;phylum__Ascomycota;class__Arthoniomycetes	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Maxillopoda	0	0	0	0	0	0	0	0	0	0	96	169	17	0	0	0	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Malacostraca	0	0	0	0	0	0	0	0	0	0	1	80	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Insecta	0	0	1	0	0	0	0	0	0	0	0	391	3	1	0	2	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Ellipura	0	9	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Diplopoda	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Arthropoda;class__Arachnida	0	3	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Apusomonadidae;class__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Apicomplexa;class__Conoidasida	1	0	0	5	5	12	0	0	0	0	0	0	0	0	28	0	0
root__Root;domain__Eukaryota;phylum__Aphelidea;class__unknown	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Annelida;class__Polychaeta	0	0	0	0	0	0	0	140	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Annelida;class__Clitellata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43	0	0
root__Root;domain__Bacteria;phylum__unknown;class__unknown	0	0	0	0	0	0	0	1	0	0	0	14	19	0	0	0	0
root__Root;domain__Bacteria;phylum__uncultured;class__unknown	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Zixibacteria;class__unknown	0	0	0	0	0	0	0	574	0	18	6	29	8	0	3	0	0
root__Root;domain__Bacteria;phylum__WS2;class__unknown	0	0	5	0	0	0	0	281	0	66	0	0	0	0	6	0	0
